age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,cons_price_idx,y
27,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,185,1,nonexistent,93.994,0
24,admin.,single,university.degree,no,no,no,cellular,aug,fri,744,1,failure,94.027,1
36,blue-collar,married,,no,yes,no,cellular,may,wed,499,3,nonexistent,92.893,0
29,services,single,high.school,unknown,no,no,telephone,jun,mon,123,2,nonexistent,94.465,0
58,retired,married,basic.9y,no,yes,no,telephone,jun,mon,198,1,nonexistent,94.465,0
40,technician,married,professional.course,no,no,no,cellular,aug,tue,156,1,nonexistent,93.444,0
31,admin.,single,university.degree,no,yes,no,cellular,aug,thu,98,8,nonexistent,93.444,0
60,retired,married,basic.4y,unknown,no,no,cellular,aug,tue,332,3,nonexistent,93.444,0
58,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,tue,35,1,nonexistent,93.918,0
32,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,124,2,nonexistent,93.918,0
54,admin.,divorced,university.degree,no,no,no,telephone,jun,tue,213,4,nonexistent,94.465,0
43,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,145,2,nonexistent,93.444,0
48,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,145,8,nonexistent,94.465,0
33,admin.,married,university.degree,no,yes,no,cellular,nov,thu,195,1,nonexistent,93.2,0
37,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,179,2,nonexistent,93.918,0
35,services,divorced,professional.course,unknown,no,no,telephone,may,wed,184,2,nonexistent,93.994,0
34,services,married,high.school,no,no,no,telephone,may,thu,285,1,nonexistent,93.994,0
30,technician,single,university.degree,no,yes,no,cellular,aug,thu,31,17,nonexistent,93.444,0
38,admin.,married,basic.9y,unknown,yes,no,telephone,jun,mon,306,,nonexistent,94.465,0
29,technician,divorced,professional.course,unknown,yes,no,cellular,may,fri,14,5,failure,92.893,0
49,entrepreneur,married,university.degree,no,yes,no,cellular,apr,mon,334,1,nonexistent,93.075,0
48,management,divorced,university.degree,no,no,no,cellular,aug,fri,117,1,nonexistent,92.201,0
33,management,married,high.school,no,yes,,cellular,jul,wed,155,2,nonexistent,93.918,0
33,admin.,single,university.degree,no,yes,yes,telephone,apr,wed,117,1,nonexistent,93.075,0
,management,married,university.degree,no,no,no,telephone,may,fri,,1,nonexistent,93.994,0
39,admin.,married,university.degree,no,no,no,telephone,jun,tue,102,1,nonexistent,94.465,0
55,entrepreneur,married,university.degree,unknown,yes,yes,cellular,nov,tue,157,2,nonexistent,93.2,0
46,management,married,university.degree,unknown,yes,no,telephone,may,thu,311,3,nonexistent,93.994,0
55,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,tue,115,3,nonexistent,94.465,0
42,entrepreneur,married,university.degree,no,yes,no,cellular,nov,fri,58,1,failure,93.2,0
24,student,,high.school,unknown,yes,no,cellular,may,wed,290,1,failure,92.893,0
49,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,thu,114,1,nonexistent,93.444,0
38,admin.,married,unknown,no,no,yes,cellular,jul,wed,311,3,nonexistent,,0
34,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,146,1,nonexistent,93.444,0
46,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,111,1,nonexistent,93.918,0
45,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,360,5,nonexistent,93.444,0
40,admin.,married,basic.9y,no,yes,no,cellular,jul,thu,106,4,nonexistent,93.918,0
46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,423,1,nonexistent,93.994,0
31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,350,7,nonexistent,94.465,0
57,self-employed,married,basic.9y,unknown,yes,yes,telephone,may,tue,122,1,nonexistent,93.994,0
36,admin.,married,university.degree,no,no,no,cellular,may,mon,91,3,nonexistent,92.893,0
50,technician,married,professional.course,no,unknown,unknown,cellular,nov,tue,319,2,failure,93.2,0
32,admin.,single,high.school,no,yes,yes,cellular,apr,wed,120,1,nonexistent,93.075,0
38,admin.,single,university.degree,no,yes,no,cellular,jul,mon,82,2,,92.469,0
50,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,801,1,failure,93.876,0
42,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,168,2,nonexistent,94.465,0
31,technician,married,professional.course,no,yes,no,cellular,aug,wed,409,2,nonexistent,93.444,0
27,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,120,1,nonexistent,93.918,0
44,self-employed,divorced,high.school,no,yes,no,telephone,jun,mon,123,1,nonexistent,94.465,0
26,housemaid,single,high.school,unknown,yes,yes,telephone,jul,thu,,1,nonexistent,93.918,0
30,blue-collar,single,,unknown,yes,no,cellular,may,thu,340,1,nonexistent,92.893,0
39,self-employed,single,high.school,no,yes,no,cellular,nov,fri,169,1,nonexistent,93.2,0
64,retired,married,unknown,no,no,no,cellular,aug,fri,252,4,nonexistent,92.201,1
36,management,married,university.degree,no,unknown,unknown,cellular,sep,wed,331,1,failure,94.199,1
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,191,4,nonexistent,93.994,0
,services,single,high.school,no,no,,cellular,may,thu,122,2,nonexistent,92.893,0
40,admin.,divorced,high.school,no,no,no,cellular,jul,wed,1776,3,nonexistent,93.918,0
34,services,married,high.school,no,no,yes,cellular,may,wed,362,2,failure,92.893,0
31,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,237,2,nonexistent,93.994,0
49,admin.,single,university.degree,no,no,no,telephone,may,fri,201,3,nonexistent,93.994,0
35,unemployed,divorced,basic.9y,no,no,no,cellular,jul,thu,169,7,nonexistent,93.918,0
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,nonexistent,93.994,0
38,admin.,divorced,basic.9y,no,no,no,cellular,nov,fri,271,1,nonexistent,93.2,0
32,management,married,professional.course,no,no,no,cellular,may,thu,125,1,failure,92.893,0
50,self-employed,married,basic.9y,no,yes,yes,cellular,may,mon,673,6,success,92.893,1
41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,961,6,nonexistent,93.749,1
45,admin.,married,high.school,no,no,no,telephone,may,wed,215,2,nonexistent,,0
46,blue-collar,married,basic.6y,no,no,yes,telephone,jun,tue,179,2,nonexistent,94.465,0
55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,nonexistent,93.994,0
33,technician,divorced,professional.course,no,yes,no,telephone,may,fri,44,1,nonexistent,93.994,0
45,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,223,1,nonexistent,93.994,0
29,blue-collar,married,high.school,no,yes,no,cellular,may,wed,66,1,nonexistent,92.893,0
42,technician,married,high.school,unknown,no,no,cellular,jul,wed,252,2,nonexistent,93.918,0
39,housemaid,married,university.degree,no,yes,no,telephone,may,mon,167,2,nonexistent,93.994,0
58,blue-collar,married,unknown,unknown,yes,no,cellular,jul,thu,180,,nonexistent,93.918,0
32,management,divorced,university.degree,no,yes,no,cellular,jul,tue,,4,nonexistent,93.918,0
44,technician,divorced,professional.course,unknown,yes,no,cellular,apr,thu,18,3,failure,93.075,0
49,self-employed,married,professional.course,no,no,no,telephone,may,fri,374,2,nonexistent,93.994,0
29,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,108,4,nonexistent,92.893,0
51,management,married,university.degree,no,no,no,telephone,jun,wed,16,17,nonexistent,94.465,0
36,admin.,married,university.degree,no,yes,no,cellular,aug,thu,45,8,nonexistent,93.444,0
23,management,single,university.degree,no,yes,no,cellular,apr,mon,122,1,nonexistent,93.075,1
31,management,single,university.degree,no,yes,no,cellular,,mon,72,1,nonexistent,93.444,0
32,technician,married,unknown,no,yes,no,cellular,jul,fri,107,2,nonexistent,93.918,0
58,self-employed,divorced,professional.course,no,no,no,telephone,jun,thu,197,1,nonexistent,94.465,0
31,services,single,high.school,no,yes,no,cellular,jul,wed,21,20,nonexistent,93.918,0
32,blue-collar,married,professional.course,no,yes,no,cellular,may,fri,160,2,nonexistent,92.893,0
43,unemployed,married,high.school,no,no,no,cellular,aug,thu,319,4,success,92.201,0
48,admin.,divorced,professional.course,no,yes,no,telephone,may,fri,427,3,nonexistent,93.994,0
28,admin.,single,high.school,no,yes,,cellular,jul,thu,270,2,nonexistent,93.918,0
52,services,unknown,professional.course,no,yes,no,telephone,jun,fri,7,2,nonexistent,94.465,0
36,management,married,university.degree,no,no,no,telephone,jun,thu,22,1,nonexistent,94.465,0
39,admin.,divorced,high.school,no,yes,yes,cellular,apr,thu,433,2,nonexistent,93.075,0
39,blue-collar,married,unknown,unknown,yes,no,telephone,jul,tue,49,5,nonexistent,93.918,0
50,management,married,university.degree,no,yes,no,telephone,oct,thu,258,1,failure,92.431,0
29,admin.,single,university.degree,no,yes,no,cellular,nov,fri,190,1,nonexistent,93.2,0
49,technician,divorced,professional.course,no,yes,no,cellular,may,tue,130,3,nonexistent,92.893,0
36,blue-collar,married,basic.6y,no,no,no,cellular,nov,wed,130,1,nonexistent,93.2,0
29,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,thu,182,6,nonexistent,92.893,0
27,entrepreneur,single,university.degree,no,no,no,telephone,jun,tue,259,3,nonexistent,94.465,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,124,1,nonexistent,93.918,0
43,management,single,,no,no,no,cellular,nov,fri,40,1,nonexistent,93.2,0
32,blue-collar,married,unknown,no,no,no,cellular,nov,thu,366,4,nonexistent,93.2,0
,blue-collar,married,high.school,unknown,yes,no,cellular,aug,wed,399,2,nonexistent,93.444,0
56,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,,2,,94.465,0
38,admin.,married,high.school,no,unknown,unknown,telephone,may,wed,23,16,nonexistent,93.994,0
35,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,170,1,nonexistent,93.994,0
30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,83,1,failure,92.201,0
46,management,married,university.degree,unknown,no,no,cellular,apr,fri,79,1,nonexistent,93.075,0
43,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,93,4,failure,92.893,0
38,technician,married,university.degree,unknown,no,no,telephone,may,thu,257,2,nonexistent,93.994,0
52,retired,married,university.degree,no,yes,no,telephone,nov,thu,188,2,nonexistent,93.2,0
30,technician,unknown,university.degree,no,no,no,cellular,oct,fri,131,2,success,94.601,0
31,unemployed,married,high.school,yes,no,no,cellular,nov,tue,111,2,failure,93.2,0
31,blue-collar,single,basic.4y,unknown,yes,no,cellular,may,fri,73,1,nonexistent,92.893,0
24,technician,single,professional.course,no,no,no,cellular,may,thu,175,1,failure,92.893,0
34,admin.,single,university.degree,no,yes,no,cellular,jul,tue,439,2,nonexistent,93.918,0
48,admin.,married,unknown,no,no,no,cellular,aug,thu,262,1,nonexistent,93.444,0
30,admin.,married,university.degree,no,yes,no,cellular,aug,thu,136,1,nonexistent,93.444,0
23,blue-collar,single,high.school,unknown,yes,no,cellular,jul,mon,150,4,nonexistent,,0
20,entrepreneur,single,high.school,no,no,no,telephone,may,thu,598,3,nonexistent,93.994,0
43,admin.,divorced,high.school,no,no,no,cellular,jul,mon,96,3,nonexistent,93.918,0
26,services,single,high.school,no,no,no,cellular,may,mon,298,2,failure,92.893,0
58,unemployed,single,basic.4y,unknown,no,,telephone,jun,mon,170,6,nonexistent,94.465,0
26,admin.,single,university.degree,no,yes,no,cellular,may,tue,104,5,nonexistent,92.893,0
35,admin.,married,high.school,unknown,yes,no,telephone,may,fri,213,14,nonexistent,93.994,0
35,admin.,married,high.school,unknown,no,no,cellular,jul,mon,356,3,nonexistent,93.918,0
59,admin.,divorced,professional.course,no,no,no,cellular,aug,tue,206,1,failure,92.201,1
54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,1,nonexistent,93.994,0
37,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,346,2,nonexistent,93.918,0
46,technician,divorced,professional.course,no,no,no,telephone,jun,wed,53,2,nonexistent,94.465,0
52,services,married,high.school,unknown,no,no,cellular,jul,mon,81,6,nonexistent,93.918,0
52,management,married,university.degree,no,yes,no,cellular,nov,tue,67,1,nonexistent,93.2,0
32,student,single,university.degree,no,no,no,cellular,may,fri,209,1,nonexistent,92.893,0
33,services,married,basic.4y,no,no,no,telephone,may,tue,202,4,nonexistent,93.994,0
33,technician,divorced,high.school,no,yes,no,cellular,may,tue,247,1,nonexistent,92.893,0
,technician,single,unknown,no,no,no,telephone,may,mon,230,2,nonexistent,93.994,0
38,blue-collar,divorced,unknown,no,yes,no,telephone,may,thu,451,2,nonexistent,93.994,0
43,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,,1,nonexistent,93.994,0
49,admin.,divorced,university.degree,no,no,no,telephone,may,fri,24,1,nonexistent,93.994,0
30,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,wed,107,3,nonexistent,92.893,0
37,technician,married,professional.course,no,no,no,cellular,apr,fri,54,2,nonexistent,93.075,0
47,blue-collar,married,professional.course,no,no,no,cellular,jul,mon,86,2,nonexistent,93.918,0
32,blue-collar,married,basic.4y,no,yes,no,telephone,nov,thu,111,8,nonexistent,92.649,0
32,unemployed,married,university.degree,no,yes,no,cellular,jul,fri,47,2,nonexistent,93.918,0
35,services,divorced,university.degree,no,yes,no,cellular,may,mon,215,1,nonexistent,92.893,0
36,management,divorced,university.degree,no,unknown,unknown,cellular,may,fri,423,1,nonexistent,92.893,0
41,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,233,2,nonexistent,92.893,0
48,blue-collar,married,basic.9y,no,yes,no,telephone,aug,fri,67,2,nonexistent,93.444,0
43,technician,married,high.school,no,no,no,cellular,jul,wed,1389,7,nonexistent,93.918,0
57,technician,married,university.degree,no,no,no,telephone,may,fri,50,2,nonexistent,93.994,0
28,entrepreneur,married,university.degree,unknown,no,no,cellular,apr,mon,774,2,nonexistent,93.075,0
30,services,single,high.school,unknown,no,no,telephone,jul,thu,454,18,nonexistent,93.918,0
27,student,single,high.school,no,no,,cellular,may,mon,64,2,failure,92.893,0
44,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,tue,212,1,nonexistent,93.994,0
43,services,married,basic.9y,no,no,no,telephone,jun,thu,110,17,nonexistent,94.465,0
28,technician,married,basic.9y,no,yes,no,cellular,may,wed,23,1,failure,92.893,0
34,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,169,1,nonexistent,92.893,0
32,services,married,high.school,no,yes,no,telephone,jul,thu,251,2,nonexistent,93.918,0
30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,353,10,nonexistent,93.444,0
45,admin.,divorced,university.degree,no,no,no,cellular,jul,fri,508,,nonexistent,93.918,0
49,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,410,1,nonexistent,93.994,0
45,blue-collar,married,,no,yes,no,telephone,may,thu,89,5,nonexistent,93.994,0
56,technician,married,basic.9y,no,yes,no,telephone,may,wed,52,2,nonexistent,93.994,0
48,admin.,single,university.degree,no,yes,no,cellular,aug,wed,118,1,success,,1
42,unemployed,married,high.school,no,yes,no,cellular,nov,tue,154,2,nonexistent,93.2,0
,management,married,university.degree,no,yes,yes,telephone,,mon,409,2,nonexistent,94.465,0
54,blue-collar,married,basic.9y,no,no,no,cellular,jun,fri,258,2,nonexistent,92.963,1
40,admin.,married,university.degree,no,yes,no,cellular,aug,wed,,2,nonexistent,93.444,0
47,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,54,1,nonexistent,93.994,0
29,technician,single,university.degree,no,no,no,cellular,aug,wed,896,6,nonexistent,93.444,0
37,admin.,married,university.degree,no,yes,yes,cellular,jun,mon,412,2,nonexistent,92.963,1
35,technician,married,basic.9y,no,no,no,telephone,may,wed,24,1,nonexistent,93.994,0
54,technician,married,professional.course,no,yes,no,cellular,nov,tue,149,2,nonexistent,93.2,0
45,unknown,married,university.degree,no,yes,no,cellular,may,thu,254,1,failure,93.876,0
35,admin.,single,university.degree,no,yes,no,cellular,jul,fri,564,2,nonexistent,93.918,0
37,blue-collar,married,professional.course,no,yes,no,cellular,may,mon,185,1,failure,92.893,0
38,management,married,basic.9y,no,yes,no,telephone,may,tue,1000,1,nonexistent,93.994,1
33,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,88,2,,93.994,0
31,blue-collar,divorced,basic.9y,no,yes,no,telephone,jun,thu,166,2,nonexistent,94.465,0
34,admin.,married,university.degree,unknown,no,no,telephone,may,thu,134,1,nonexistent,93.994,0
51,blue-collar,divorced,high.school,no,no,no,cellular,may,tue,131,2,nonexistent,92.893,0
38,blue-collar,married,high.school,unknown,yes,no,cellular,may,wed,118,1,failure,92.893,0
25,admin.,single,basic.9y,no,no,no,cellular,jul,thu,81,3,nonexistent,93.918,0
35,technician,single,professional.course,no,yes,no,cellular,aug,wed,75,6,nonexistent,93.444,0
55,self-employed,married,university.degree,no,yes,no,cellular,may,mon,123,2,nonexistent,92.893,0
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,1,nonexistent,93.994,0
31,technician,married,high.school,no,no,no,cellular,aug,thu,124,3,nonexistent,93.444,0
36,services,married,high.school,no,unknown,unknown,telephone,may,thu,262,4,nonexistent,93.994,0
